Job Title,Company,Location,Experience Level,Salary Range,Required Skills,Industry,Job Type,Year,Work Mode
Python Developer,SoftServe,Lviv,Junior,£30000 - £45000,"Python, SQL, Git",Software Development,Full-time,2023,Remote
Data Analyst,EPAM,Kyiv,Middle,£50000 - £70000,"SQL, Pandas, Excel",Data,Full-time,2023,Hybrid
Backend Developer,GlobalLogic,Lviv,Middle,£55000 - £80000,"Python, SQL, Django",Software Development,Full-time,2022,Office
QA Engineer,N-iX,Kyiv,Junior,£28000 - £40000,"Testing, SQL, Jira",Quality Assurance,Part-time,2021,Remote
DevOps Engineer,Intellias,Odesa,Senior,£80000 - £110000,"Linux, Docker, AWS",Infrastructure,Full-time,2023,Remote
Frontend Developer,Luxoft,Kharkiv,Junior,£35000 - £50000,"JavaScript, React, HTML",Software Development,Full-time,2020,Hybrid
Database Admin,ELEKS,Lviv,Senior,£75000 - £100000,"SQL, PostgreSQL, Linux",Data,Contract,2023,Office
Project Manager,Sigma Software,Kyiv,Senior,£70000 - £95000,"Scrum, Jira, Communication",Management,Full-time,2022,Hybrid
ML Engineer,Ciklum,Dnipro,Middle,£65000 - £90000,"Python, SQL, Machine Learning",AI,Full-time,2023,Remote
Support Engineer,Infopulse,Odesa,Junior,£25000 - £35000,"Support, Linux, SQL",Support,Part-time,2019,Office
Security Analyst,SoftServe,Lviv,Middle,£60000 - £85000,"Security, SQL, Python",Cybersecurity,Full-time,2023,Hybrid
Business Analyst,EPAM,Kyiv,Middle,£52000 - £72000,"SQL, UML, Communication",Business Analysis,Contract,2021,Remote
